"filename", "language", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\work\Desktop\petshop\about.css", "PostCSS", 0, 90, 0, 0, 17, 107
"c:\Users\work\Desktop\petshop\about.html", "HTML", 58, 0, 0, 0, 9, 67
"c:\Users\work\Desktop\petshop\about.js", "JavaScript", 0, 0, 11, 0, 1, 12
"c:\Users\work\Desktop\petshop\cart.html", "HTML", 183, 0, 0, 165, 37, 385
"c:\Users\work\Desktop\petshop\checkout.css", "PostCSS", 0, 53, 0, 0, 7, 60
"c:\Users\work\Desktop\petshop\checkout.html", "HTML", 28, 0, 0, 0, 7, 35
"c:\Users\work\Desktop\petshop\checkout.js", "JavaScript", 0, 0, 5, 1, 0, 6
"c:\Users\work\Desktop\petshop\clothing.css", "PostCSS", 0, 76, 0, 0, 12, 88
"c:\Users\work\Desktop\petshop\clothing.html", "HTML", 34, 0, 0, 0, 7, 41
"c:\Users\work\Desktop\petshop\clothing.js", "JavaScript", 0, 0, 68, 0, 23, 91
"c:\Users\work\Desktop\petshop\contact.html", "HTML", 135, 0, 0, 0, 21, 156
"c:\Users\work\Desktop\petshop\food.css", "PostCSS", 0, 93, 0, 1, 16, 110
"c:\Users\work\Desktop\petshop\food.html", "HTML", 35, 0, 0, 3, 7, 45
"c:\Users\work\Desktop\petshop\food.js", "JavaScript", 0, 0, 68, 12, 30, 110
"c:\Users\work\Desktop\petshop\gallery.css", "PostCSS", 0, 75, 0, 0, 12, 87
"c:\Users\work\Desktop\petshop\gallery.html", "HTML", 53, 0, 0, 0, 13, 66
"c:\Users\work\Desktop\petshop\index.html", "HTML", 222, 0, 0, 0, 21, 243
"c:\Users\work\Desktop\petshop\product.css", "PostCSS", 0, 368, 0, 25, 103, 496
"c:\Users\work\Desktop\petshop\product.html", "HTML", 105, 0, 0, 6, 18, 129
"c:\Users\work\Desktop\petshop\product.js", "JavaScript", 0, 0, 31, 0, 4, 35
"c:\Users\work\Desktop\petshop\sample.html", "HTML", 870, 0, 0, 7, 141, 1018
"c:\Users\work\Desktop\petshop\script.js", "JavaScript", 0, 0, 50, 0, 39, 89
"c:\Users\work\Desktop\petshop\style.css", "PostCSS", 0, 759, 0, 55, 217, 1031
"c:\Users\work\Desktop\petshop\subscribe.html", "HTML", 103, 0, 0, 0, 17, 120
"c:\Users\work\Desktop\petshop\testimonal.css", "PostCSS", 0, 76, 0, 0, 12, 88
"c:\Users\work\Desktop\petshop\testimonal.html", "HTML", 43, 0, 0, 0, 10, 53
"c:\Users\work\Desktop\petshop\testimonal.js", "JavaScript", 0, 0, 7, 2, 0, 9
"c:\Users\work\Desktop\petshop\toy.css", "PostCSS", 0, 77, 0, 0, 12, 89
"c:\Users\work\Desktop\petshop\toy.html", "HTML", 34, 0, 0, 0, 6, 40
"c:\Users\work\Desktop\petshop\toy.js", "JavaScript", 0, 0, 67, 9, 14, 90
"c:\Users\work\Desktop\petshop\treats.css", "PostCSS", 0, 77, 0, 0, 12, 89
"c:\Users\work\Desktop\petshop\treats.html", "HTML", 34, 0, 0, 0, 5, 39
"c:\Users\work\Desktop\petshop\treats.js", "JavaScript", 0, 0, 68, 5, 18, 91
"c:\Users\work\Desktop\petshop\user.html", "HTML", 133, 0, 0, 3, 21, 157
"c:\Users\work\Desktop\petshop\walk&travel.css", "PostCSS", 0, 77, 0, 0, 12, 89
"c:\Users\work\Desktop\petshop\walk&travel.html", "HTML", 35, 0, 0, 0, 5, 40
"c:\Users\work\Desktop\petshop\walk&travel.js", "JavaScript", 0, 0, 72, 6, 21, 99
"Total", "-", 2105, 1821, 447, 300, 927, 5600
